socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
Nama_Hottentot,SCCS1,-27.5,17,Deserts & Xeric Shrublands,Pastoralism,2,3,1,1,3,7,8,3,2,3,19.4732,10.59263669,0.6694714,17684.075,386520648,0.5521601
Kung_Bushmen,SCCS2,-19.83,20.58,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Gathering,2,4,1,1,3,1,10,1,3,4,21.0331065,14.1185644,0.6681885,89005.311,12332083886,0.4761769
Thonga,SCCS3,-25.83,32.33,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,2,4,1,5,7,11,1,2,3,18.2768863,8.90745031,0.7186626,134197.583,12418251664,0.6349707
Mbundu,SCCS5,-12.25,16.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Extensive agriculture,3,3,5,1,5,2,15,2,2,3,17.6767546,3.34892943,0.741032,122664.129,13661008540,0.5698258
Bemba,SCCS7,-10.5,30.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Extensive agriculture,2,2,4,1,3,3,15,,2,5,17.6649793,8.76530501,0.7513975,126297.477,20553738597,0.7195587
Nyakyusa,SCCS8,-9.5,34,Inland Water,Intensive agriculture,3,2,4,1,5,6,17,2,2,1,17.7196606,7.99422996,0.7520339,110479.414,14085952159,0.7285086
Hadza,SCCS9,-3.75,35.18,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Gathering,2,2,1,1,2,6,16,2,2,3,19.2069738,2.78635761,0.7414988,86607.659,10440323091,0.6679243
Luguru,SCCS10,-6.83,37.67,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Extensive agriculture,2,3,5,2,3,5,14,,2,2,21.0401826,4.3258226,0.8088863,116820.557,5819966558,0.7079845
Kikuyu,SCCS11,-0.67,37.17,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intensive agriculture,3,2,5,3,5,7,19,,2,3,18.2439287,1.41920847,0.7725354,48525.62,2391993146,0.6696487
Ganda,SCCS12,0.33,32.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intensive agriculture,3,1,5,2,5,7,18,1,2,2,21.6710711,1.03612113,0.7797014,136714.306,15279696081,0.6045725
Mbuti,SCCS13,1.5,28.33,Tropical & Subtropical Moist Broadleaf Forests,Hunting,3,4,1,1,3,7,17,2,1,1,21.4538823,0.29461569,0.8167957,246503.223,8474274385,0.7845385
Nkundo_Mongo,SCCS14,-0.75,19.17,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,3,5,1,5,6,18,,,,22.9959144,0.27338684,0.8198086,196079.763,7122628458,0.7877248
Banen,SCCS15,4.67,10.8,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,3,5,2,5,7,20,1,1,1,21.9249527,0.81157559,0.8091319,202490.323,13427796171,0.7453517
Tiv,SCCS16,7.25,9,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Extensive agriculture,4,3,5,1,5,7,17,,2,5,23.5594357,1.91335105,0.7704636,150153.625,12760382786,0.6502245
Ibo,SCCS17,5.5,7.33,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,4,3,5,1,5,7,19,,2,4,24.5112997,1.50982647,0.7840916,138728.195,8374543041,0.7056658
